web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728755317-96","https://bdnews24.com/politics","Ex-railways minister Sujan remanded for 5 days","https://bdnews24.com/politics/8b82306bb78c","","He later became the legal affairs secretary of the central committee of the Jubo League.","",""
"1728755317-97","https://bdnews24.com/politics","Ex-railways minister Sujan remanded for 5 days","https://bdnews24.com/politics/8b82306bb78c","","He was also the general secretary of the Supreme Court Bar Association.","",""
"1728755317-98","https://bdnews24.com/politics","Ex-railways minister Sujan remanded for 5 days","https://bdnews24.com/politics/8b82306bb78c","","","https://cdn.bdnews24.com/bdnews24/media/bdnews24/2023-12/32fb53fb-7078-46f0-a514-c375333d4740/panchagarh_sujan_271223_01.jpg",""
"1728755317-99","https://bdnews24.com/politics","Ex-railways minister Sujan remanded for 5 days","https://bdnews24.com/politics/8b82306bb78c","","","","Politics"
"1728755319-100","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","Trump says he will not run again if he loses in November, 'that will be it'","","",""
"1728755319-101","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Republican Donald Trump said that he will not make a fourth consecutive run for the US presidency if he loses the Nov 5 election, saying ""that will be it"" in an interview released on Sunday.","",""
"1728755319-102","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Asked if he saw himself running again in four years if he is not successful in his third consecutive bid for the White House, the 78-year-old former president told Sharyl Attkisson's ""Full Measure"" program: ""No I don't. I think that will be — that will be it. I don't see that at all. Hopefully, we will be successful.""","",""
"1728755319-103","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Trump faces a tight race against Democratic US Vice President Kamala Harris, with polls showing the two neck-and-neck in key battleground states that are likely to be decisive in determining the winner, even as Harris has begun to edge up in nationwide polls.","",""
"1728755319-104","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Trump launched his first reelection bid for the 2020 election the same day he was inaugurated in 2017 and announced his latest White House bid two years ago in November 2022.","",""
"1728755319-105","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Trump has continued to falsely blame his 2020 loss to Democratic President Joe Biden on widespread voter fraud and faces federal and state criminal charges over efforts to overturn the election results. He denies any wrongdoing and has cast his indictments as a political attack against him while embracing increasingly dystopian rhetoric if he were to lose in 2024.","",""
"1728755319-106","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","He has also launched a number of businesses ventures amid his latest campaign, including Trump Media, NFTs, and Trump branded sneakers, coins and crypto.","",""
"1728755319-107","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Harris, 59, meanwhile, has cast the race as a critical moment for US democracy even as she seeks to focus on kitchen-table issues such as costs for families and housing.","",""
"1728755319-108","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Asked whether the four year break helped him regroup and figure out who he could trust as allies, Trump said: ""It would have been easier if I did it ... contiguous.""","",""
"1728755319-109","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","""But the benefit is more than anything else, it shows how bad they were,"" he added.","",""
"1728755319-110","https://bdnews24.com/politics","Trump says he will not run again if he loses in November","https://bdnews24.com/politics/7dcd65074623","","Trump, who spoke with Attkisson at his Florida resort, also said it was ""too early"" to make deals with people for any position in his White House cabinet should he win in November.","",""
