web-scraper-order,web-scraper-start-url,newsitem,newsitem-href,title,description,image-link-src,topic
"1728754310-70","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","However, she acknowledged that there are instances of ""provocation"" behind recent protests","",""
"1728754310-71","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","She said, “During the previous government, politics seeped into every corner. Corruption exists, and workers have become entangled in various political agendas. Employers sometimes bribe workers to manage them, which is diverting the movement into other directions.”","",""
"1728754310-72","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","Jolly Talukder, general secretary of the Garment Workers Trade Union Centre, highlighted the “legitimacy” of some of the workers' demands. “Several factories weren’t paying outstanding wages. A part of their protest is genuine.”","",""
"1728754310-73","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","She also suggested that the involvement of owners associated with the previous government could be a reason behind some of the unrest. “Protests are more intense in factories connected to those with ties to the former government. Corruption, bribery, and the jhoot business are escalating the unrest,” she said.","",""
"1728754310-74","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","Jolly called on the government to take action for the workers who have been injured or killed while participating in the Anti-discrimination Student Movement. “The first shot fired by this government was at the workers. There must be an investigation, and those responsible should be punished. If this sector remains unstable, it will harm the country and exports.","",""
"1728754310-75","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","“Those associated with the previous government are trying to put the current government in a difficult position. So, the government must take strong measures to stabilize this sector.”","",""
"1728754310-76","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","","",""
"1728754310-77","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","WORKERS' DEMANDS","",""
"1728754310-78","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","","",""
"1728754310-79","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","In an effort to manage the current situation in the garment sector, a meeting was recently held at the Ministry of Labour and Employment, attended by worker and employer representatives. The meeting, chaired by Secretary AHM Shafiquzzaman, included representatives from various labour organisations and the BGMEA president, along with industry entrepreneurs.","",""
"1728754310-80","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","","",""
"1728754310-81","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","During the meeting, the workers presented 18 key demands to the factory owners, which include:","",""
"1728754310-82","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","","",""
"1728754310-83","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Reconstitution of the Wage Board to reassess and adjust the minimum wage for workers","",""
"1728754310-84","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Immediate implementation of the 2023 government-declared minimum wage in factories where it has not yet been enforced","",""
"1728754310-85","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Reform of labour laws, including revisions to Section 27 and other provisions","",""
"1728754310-86","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Compensation equivalent to one month’s basic salary if a worker is released or terminated after completing five years of service","",""
"1728754310-87","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Payment of all outstanding wages immediately","",""
"1728754310-88","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Increased allowances for attendance bonuses (Tk 225), tiffin bills (Tk 50), and night shift bills (Tk 100) across all factories","",""
"1728754310-89","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Implementation of provident funds in all factories","",""
"1728754310-90","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Minimum 10 percent annual increment on salaries","",""
"1728754310-91","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Rationing system for workers","",""
"1728754310-92","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> End the BGMEA-controlled biometric blacklisting and transfer control of the biometric list (fingerprint access system) to the government","",""
"1728754310-93","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Withdrawal of all politically motivated and harassment-related cases","",""
"1728754310-94","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Measures to stop monopolies in the jhoot business","",""
"1728754310-95","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Equal employment opportunities in factories, ensuring no discrimination between men and women.","",""
"1728754310-96","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Compensation and medical support for workers injured or killed during the “July Revolution”","",""
"1728754310-97","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Proper investigation and action for the welfare of those affected by the Rana Plaza and Tazreen Fashion disasters.","",""
"1728754310-98","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Establishment of day-care centres in all factories in accordance with labour laws.","",""
"1728754310-99","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> End to unjust layoffs","",""
"1728754310-100","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","",">> Extension of maternity leave to 120 days for female workers.","",""
"1728754310-101","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","","https://cdn.bdnews24.com/bdnews24/media/bangla/imgAll/2024September/gazipur-fire-110924-02-1726051873.jpg",""
"1728754310-102","https://bdnews24.com/business","RMG buyers sending orders to competitors amid unrest","https://bdnews24.com/business/bb092a57a39e","","","","Business"
"1728754312-103","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","China home sales rise after stimulus measures, state media says","","",""
"1728754312-104","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","China's home sales rose during the National Day holiday after a string of property stimulus measures to boost the country's beleaguered real estate market since late September, state media said on Saturday.","",""
"1728754312-105","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","Across the world's second-largest economy, policies including reductions in down-payment ratios and mortgage rates have been introduced this year to support the property sector, which previously made up one-quarter of economic activity.","",""
"1728754312-106","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","During the week-long holiday period that started on Tuesday, the number of house visits, which reflects a willingness to buy a home, increased significantly while sales of homes in many places rose to ""varying degrees"", state broadcaster CCTV reported.","",""
"1728754312-107","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","More than 50 cities introduced policies to boost the real estate market, while nearly 2,000 developments from more than 1,000 property companies participated in promotions, CCTV said, citing the Ministry of Housing and Urban-Rural Development.","",""
"1728754312-108","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","The number of visits to most of the projects participating in the promotions increased by more than 50% year-on-year, it added.","",""
"1728754312-109","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","In the southern Chinese city of Shenzhen, many real estate sales offices worked through the night to lure home-buyers, and transaction volumes as well as the number of viewers to properties ""increased significantly,"" the 21st Century Business Herald reported, without providing details.","",""
"1728754312-110","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","Some buyers drove long distances to see homes, it added.","",""
"1728754312-111","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","Last month, Guangzhou city in southern Guangdong province announced the lifting of all restrictions on home purchases, while Shanghai and Shenzhen said they would ease restrictions on housing purchases by non-local buyers and lower the minimum down-payment ratio for first home buyers to no less than 15%.","",""
"1728754312-112","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","Those measures came days after China unveiled its biggest stimulus since the COVID-19 pandemic in a bid to pull the economy out of a deflationary funk.","",""
"1728754312-113","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","","https://cdn.bdnews24.com/bdnews24/media/english/imgAll/2024October/china-home-sales-061024-01-1728181140.jpg",""
"1728754312-114","https://bdnews24.com/business","China home sales rise","https://bdnews24.com/business/2af7beaaa089","","","","Business"
"1728754315-115","https://bdnews24.com/business","Leather traders seek loan interest waiver","https://bdnews24.com/business/f7f2b134735b","Bangladesh leather sector businesses seek loan interest waiver","","",""
